"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 07 10:50:22 EET 2024","Sun Jan 07 10:50:23 EET 2024","1095","firefox","Annotations.spec.js","","","","Test1",""
"passed","Sun Jan 07 10:50:27 EET 2024","Sun Jan 07 10:50:27 EET 2024","340","webkit","Describe.spec.js","Group2","","","Test3",""
"passed","Sun Jan 07 10:50:22 EET 2024","Sun Jan 07 10:50:23 EET 2024","430","chromium","Describe.spec.js","Group2","","","Test3",""
"passed","Sun Jan 07 10:50:26 EET 2024","Sun Jan 07 10:50:26 EET 2024","500","webkit","Annotations.spec.js","","","","Test1",""
"passed","Sun Jan 07 10:50:26 EET 2024","Sun Jan 07 10:50:38 EET 2024","11928","webkit","HandlingWindows.spec.js","","","","Handle Multiple Pages/Windows",""
"passed","Sun Jan 07 10:50:22 EET 2024","Sun Jan 07 10:50:34 EET 2024","11817","chromium","HandlingWindows.spec.js","","","","Handle Multiple Pages/Windows",""
"passed","Sun Jan 07 10:50:23 EET 2024","Sun Jan 07 10:50:34 EET 2024","11137","firefox","HandlingWindows.spec.js","","","","Handle Multiple Pages/Windows",""
"passed","Sun Jan 07 10:50:24 EET 2024","Sun Jan 07 10:50:24 EET 2024","209","firefox","Describe.spec.js","Group2","","","Test4",""
"passed","Sun Jan 07 10:50:22 EET 2024","Sun Jan 07 10:50:23 EET 2024","418","chromium","Annotations.spec.js","","","","Test1",""
"passed","Sun Jan 07 10:50:27 EET 2024","Sun Jan 07 10:50:27 EET 2024","139","webkit","Describe.spec.js","Group2","","","Test4",""
"passed","Sun Jan 07 10:50:23 EET 2024","Sun Jan 07 10:50:23 EET 2024","57","chromium","Describe.spec.js","Group2","","","Test4",""
"passed","Sun Jan 07 10:50:23 EET 2024","Sun Jan 07 10:50:24 EET 2024","962","firefox","Describe.spec.js","Group2","","","Test3",""
